,id,annotation_1,annotation_2,document,label
0,0,"본품,품질","기어,16,18",둘쨋날은 미친듯이 밟아봤더니 기어가 헛돌면서 틱틱 소리가 나서 경악,0
1,1,"본품,품질","기어 텐션,67,72",이거 뭐 삐꾸를 준 거 아냐 불안하고 거금 투자한 게 왜 이래 싶어서 정이 확 떨어졌는데 산 곳 가져가서 확인하니 기어 텐션 문제라고 고장 아니래,0
2,2,"제품 전체,일반","None,0,0",간사하게도 그 이후에는 라이딩이 아주 즐거워져서 만족스럽게 탔다,2
3,3,"제품 전체,일반","샥이 없는 모델,0,8",샥이 없는 모델이라 일반 도로에서 타면 노면의 진동 때문에 손목이 덜덜덜 떨리고 이가 부딪칠 지경인데 이마저도 며칠 타면서 익숙해지니 신경쓰이지 않게 됐다,1
4,4,"본품,일반","안장,0,2",안장도 딱딱해서 엉덩이가 아팠는데 무시하고 타고 있다,0
5,5,"제품 전체,일반","자전거,23,26",지금 내 실력과 저질 체력으로는 이 정도 자전거도 되게 훌륭한 거라는,2
6,6,"본품,품질","내장 기어 3단,0,8",내장 기어 단은 썩 좋은 물건이라 기어 변환도 부드럽고 겉에서는 기어가 보이지 않기 때문에 깔끔하다,2
7,7,"본품,품질","UD20,14,18",한번 교환했는데 새로 온 은 불량화소가 있고 ㅜ ㅜ ㅜ,0
8,8,"본품,품질","자막 검색 후 등록 기능,11,24",전에 작동 안되었던 자막 검색 후 등록 기능이 똑같이 작동 안 된다,0
9,9,"본품,품질","[등록]키,2,7",왜 등록키를 만들어놓고 제대로 단어장에 등록이 되지 않는 거냐,0
10,10,"본품,품질","부가 기능,3,8",다른 부가 기능은 참 훌륭한데,2
11,11,"제품 전체,일반","None,0,0",미치겠네,0
12,12,"제품 전체,일반","None,0,0",아 진짜 기계 사겠나,0
13,13,"제품 전체,일반","None,0,0",이번에는 사전까지,0
14,14,"본품,품질","동영상 재생하면서 자막 중 모르는 내용 있으면 터치해서 바로 검색하는 기능,0,41",동영상 재생하면서 자막 중 모르는 내용 있으면 터치해서 바로 검색하는 기능 때문에 산 건데 이게 에러다,0
15,15,"본품,품질","None,0,0",어제 샀는데 오늘 안 되더군,0
16,16,"본품,품질","등록 버튼,19,24",아까 한 번 잠깐 되더니 지금 또 등록 버튼이 먹통이다,0
17,17,"제품 전체,일반","None,0,0",만원 쥐어주고 산 건데 벌써 이러면 무진장 곤란하다,0
18,18,"본품,품질","None,0,0",등록했다가 암기장으로 옮겨가면 굉장히 편리한 기능이라 포기할 수 없다,2
19,19,"제품 전체,가격","None,0,0",그렇다고 백화점에서 똑같은 걸 만원 더 주고 사기도 싫고,0
20,20,"본품,품질","전자사전 기능,0,7",전자사전 기능은 훌륭한데 이런 게 고장이 없어야지 ㅜ ㅜ ㅜ ㅜ ㅜ,1
21,21,"본품,품질","None,0,0",기능이 너무 많아서 하루 안에 다 뒤져보지도 못했네,0
22,22,"본품,품질","None,0,0",만화책 보는 건 오케이 녹음도 잘 되고,2
23,23,"제품 전체,편의성","118g,27,31",스펙상으로는 인데 집에서 저울로 재어보니  실제로 들어보니 돌덩이 같다,0
24,24,"제품 전체,편의성","None,0,0",역시 내게는 이상은 무거운 거였어,0
25,25,"제품 전체,디자인","None,0,0",디자인은 흰색은 참 별로였는데 블랙으로 하니 그나마 아이덴티티라고 할만한 게 하나도 없어서 좀 낫다,1
26,26,"제품 전체,디자인","None,0,0",저 다이아몬드 버튼과 둥글게 처리한 게 마음에 안 든다,0
27,27,"제품 전체,디자인","None,0,0",각진 인생 폰도 사각이 좋고 뒷백도 펄 같은 거 좀 별롤세,0
28,28,"제품 전체,디자인","None,0,0",워낙 하드보일드한 성격이라 군더더기로 넣은 디자인이 마음에 다 안 들어,0
29,29,"제품 전체,디자인","None,0,0",ㅜ ㅜ 테이크폰처럼 만들어주던가 멋을 내려면 아크,0
30,30,"본품,품질","디빅,22,24",동영상 변환하기 싫어서 환장할 지경이라 디빅만으로도 얘는 가치 있다,2
31,31,"본품,일반","터치,3,5",근데 터치가 적응이 안 돼,0
32,32,"본품,품질","None,0,0",오타나고 ㅖ ㄲ 이런 거 어떻게 넣는지 모르겠다,1
33,33,"제품 전체,가격","None,0,0",착한지 안 착한지는 상대적이라 잘 모르겠으나 살인적인 물가를 고려할 때 이 정도면 적정선 같음,1
34,34,"본품,품질","면,8,9",물론 쥐시장 가면 천원짜리도 많겠지만 가격대비 면이 좋네,2
